SPICY_ID,Objname,RAdeg,DEdeg,YSO_CLASS,LCType,VarClass1
54704,SPICY_54704,261.99079166666667,-28.365000000000002,FS,Linear(-),linear(-)
57187,SPICY_57187,263.637,-25.581611111111112,FS,Linear(-),linear(-)
57234,SPICY_57234,263.67225,-28.98963888888889,ClassII,Linear(-),linear(-)
58220,SPICY_58220,264.38208333333336,-25.225277777777777,ClassI,Linear(-),linear(-)
58836,SPICY_58836,264.961625,-26.040194444444445,ClassII,Linear(-),linear(-)
59379,SPICY_59379,265.38554166666665,-29.100583333333336,ClassII,Linear(-),linear(-)
60010,SPICY_60010,265.74216666666666,-29.33275,ClassII,Linear(-),linear(-)
61385,SPICY_61385,266.2366666666667,-26.445888888888888,ClassII,Linear(-),linear(-)
61906,SPICY_61906,266.3731666666667,-25.49288888888889,FS,Linear(-),linear(-)
62518,SPICY_62518,266.4791666666667,-28.337055555555555,ClassII,Linear(-),linear(-)
65417,SPICY_65417,267.10966666666667,-24.125888888888888,ClassII,Linear(-),linear(-)
66073,SPICY_66073,267.2710833333333,-27.75725,FS,Linear(-),linear(-)
66197,SPICY_66197,267.3251666666667,-27.188,ClassII,Linear(-),linear(-)
66641,SPICY_66641,267.49225,-22.18841666666667,ClassII,Linear(-),linear(-)
66732,SPICY_66732,267.53004166666665,-26.308944444444446,FS,Linear(-),linear(-)
66746,SPICY_66746,267.53754166666664,-24.10441666666667,ClassI,Linear(-),linear(-)
67141,SPICY_67141,267.705125,-24.701444444444444,ClassII,Linear(-),linear(-)
68318,SPICY_68318,268.564875,-20.58522222222222,ClassII,Linear(-),linear(-)
68427,SPICY_68427,268.63191666666665,-26.887583333333332,FS,Linear(-),linear(-)
68430,SPICY_68430,268.6327083333333,-26.88722222222222,ClassII,Linear(-),linear(-)
68467,SPICY_68467,268.6587083333333,-26.14563888888889,ClassII,Linear(-),linear(-)
68600,SPICY_68600,268.75420833333334,-28.024277777777776,ClassII,Linear(-),linear(-)
68696,SPICY_68696,268.813875,-28.88286111111111,ClassII,Linear(-),linear(-)
68881,SPICY_68881,268.949625,-25.936194444444446,ClassII,Linear(-),linear(-)
68958,SPICY_68958,269.0025,-19.490750000000002,ClassI,Linear(-),linear(-)
69670,SPICY_69670,269.5070416666667,-24.694555555555556,ClassII,Linear(-),linear(-)
69873,SPICY_69873,269.663375,-26.083666666666666,FS,Linear(-),linear(-)
69993,SPICY_69993,269.75354166666665,-23.853527777777778,ClassII,Linear(-),linear(-)
70157,SPICY_70157,269.86425,-23.873444444444445,ClassI,Linear(-),linear(-)
70272,SPICY_70272,269.9247916666667,-24.51222222222222,ClassII,Linear(-),linear(-)
71090,SPICY_71090,270.36333333333334,-23.674833333333336,ClassII,Linear(-),linear(-)
71999,SPICY_71999,270.80104166666666,-24.55838888888889,ClassII,Linear(-),linear(-)
72179,SPICY_72179,270.901125,-24.297472222222225,FS,Linear(-),linear(-)
72533,SPICY_72533,271.0745,-22.86863888888889,FS,Linear(-),linear(-)
73228,SPICY_73228,271.3619166666667,-22.590527777777776,ClassII,Linear(-),linear(-)
73284,SPICY_73284,271.38004166666667,-22.336444444444442,FS,Linear(-),linear(-)
73372,SPICY_73372,271.415375,-20.89688888888889,ClassII,Linear(-),linear(-)
73459,SPICY_73459,271.4621666666667,-21.756972222222224,ClassI,Linear(-),linear(-)
73831,SPICY_73831,271.669625,-22.025166666666667,ClassI,Linear(-),linear(-)
73983,SPICY_73983,271.737625,-21.920083333333334,FS,Linear(-),linear(-)
73997,SPICY_73997,271.7425416666667,-21.90813888888889,ClassI,Linear(-),linear(-)
76190,SPICY_76190,272.84529166666664,-17.244583333333335,ClassII,Linear(-),linear(-)
76316,SPICY_76316,272.9042083333333,-19.482916666666664,ClassI,Linear(-),linear(-)
77779,SPICY_77779,273.66608333333335,-17.671805555555558,ClassII,Linear(-),linear(-)
77881,SPICY_77881,273.69483333333335,-20.58836111111111,ClassI,Linear(-),linear(-)
77922,SPICY_77922,273.70841666666666,-15.925055555555556,ClassI,Linear(-),linear(-)
78141,SPICY_78141,273.8251666666667,-19.01486111111111,ClassII,Linear(-),linear(-)
78580,SPICY_78580,274.0535,-11.63588888888889,FS,Linear(-),linear(-)
78881,SPICY_78881,274.2079166666667,-11.922444444444444,ClassII,Linear(-),linear(-)
79098,SPICY_79098,274.27320833333334,-15.346083333333334,ClassII,Linear(-),linear(-)
79117,SPICY_79117,274.27858333333336,-12.202694444444443,ClassI,Linear(-),linear(-)
79467,SPICY_79467,274.3702916666667,-16.267444444444443,ClassII,Linear(-),linear(-)
79723,SPICY_79723,274.4519583333333,-11.899833333333333,FS,Linear(-),linear(-)
79970,SPICY_79970,274.51483333333334,-11.8985,ClassII,Linear(-),linear(-)
81859,SPICY_81859,275.075625,-14.70736111111111,ClassI,Linear(-),linear(-)
81955,SPICY_81955,275.13558333333333,-14.290555555555555,FS,Linear(-),linear(-)
83360,SPICY_83360,276.209375,-12.656222222222222,ClassI,Linear(-),linear(-)
83453,SPICY_83453,276.27566666666667,-13.399722222222222,ClassII,Linear(-),linear(-)
83811,SPICY_83811,276.519125,-12.862666666666666,ClassI,Linear(-),linear(-)
84164,SPICY_84164,276.80525,-11.891666666666666,ClassII,Linear(-),linear(-)
84380,SPICY_84380,277.01279166666666,-11.148694444444445,ClassII,Linear(-),linear(-)
84628,SPICY_84628,277.25345833333336,-11.897805555555555,ClassII,Linear(-),linear(-)
85529,SPICY_85529,277.92308333333335,-9.850083333333332,ClassII,Linear(-),linear(-)
85851,SPICY_85851,278.182625,-10.511222222222223,ClassII,Linear(-),linear(-)
86168,SPICY_86168,278.39095833333334,-5.173388888888889,FS,Linear(-),linear(-)
86467,SPICY_86467,278.55075,-8.320222222222222,ClassII,Linear(-),linear(-)
86640,SPICY_86640,278.6065,-9.247166666666665,ClassII,Linear(-),linear(-)
87339,SPICY_87339,278.90279166666664,-5.629416666666667,ClassII,Linear(-),linear(-)
87483,SPICY_87483,278.96904166666667,-7.19125,ClassII,Linear(-),linear(-)
87647,SPICY_87647,279.039625,-6.659000000000001,ClassII,Linear(-),linear(-)
87927,SPICY_87927,279.16470833333335,-7.007638888888889,FS,Linear(-),linear(-)
87984,SPICY_87984,279.19304166666666,-1.1748611111111111,ClassI,Linear(-),linear(-)
88213,SPICY_88213,279.31945833333333,-6.523138888888889,ClassII,Linear(-),linear(-)
88789,SPICY_88789,279.6580416666667,-1.2549722222222222,ClassII,Linear(-),linear(-)
88800,SPICY_88800,279.66566666666665,-5.998888888888889,ClassII,Linear(-),linear(-)
89582,SPICY_89582,280.2758333333333,-4.871944444444445,ClassII,Linear(-),linear(-)
90252,SPICY_90252,280.76366666666667,-3.206638888888889,ClassII,Linear(-),linear(-)
