Objname,RAdeg,DEdeg,SED_SLOPE,YSO_CLASS,Number,W2magMean,W2magMed,sig_W2Flux,err_W2Flux,delW2mag,Period,FLP_LSP_BOOT,slope,e_slope,r_value,LCType
J181806.81-165119.7,274.528462,-16.855522,0.2,FS,17,8.45,8.89,33.2,1.84,1.7,8333.3333,0.0041,0.03347,0.002443,0.961,Linear
J222542.49+574059.4,336.427003,57.683187,0.81,ClassI,18,11.23,11.23,0.832,0.223,0.63,8333.3333,0.0001,-0.0007864,9.821e-05,-0.917,Linear
J181122.84-171440.4,272.845308,-17.244593,-1.52,ClassII,18,8.01,8.02,6.4,2.46,0.21,8333.3333,0.007,-0.005852,0.0009371,-0.843,Linear
J224524.75+594652.6,341.353103,59.781274,0.14,FS,17,11.4,11.46,0.539,0.201,0.38,8333.3333,0.0,-0.0004934,8.651e-05,-0.852,Linear
J221516.21+580743.5,333.817529,58.128808,-0.06,FS,18,12.11,12.22,0.62,0.177,0.81,7348.2556,0.0033,0.0005372,7.405e-05,0.833,Linear
J192949.89+172150.2,292.457966,17.363992,-0.1,FS,19,10.41,10.71,5.31,0.42,1.17,8333.3333,0.0048,0.003082,0.0008764,0.782,Linear
J221338.67+594948.1,333.411073,59.830029,0.38,ClassI,18,12.34,12.38,0.188,0.145,0.34,8333.3333,0.0001,-0.0001844,4.221e-05,-0.74,Linear
J185651.71+032208.3,284.21545,3.369033,0.23,FS,19,8.71,8.71,4.41,1.17,0.32,8333.3333,0.0,-0.002737,0.0007481,-0.794,Linear
J191325.01+123749.8,288.354263,12.63048,-2.27,ClassIII,19,10.13,10.15,0.874,0.523,0.21,8333.3333,0.0,-0.0006424,0.0001355,-0.8,Linear
J203647.31+413343.3,309.197123,41.562035,0.37,ClassI,18,8.75,8.82,8.2,1.14,0.48,8333.3333,0.0096,0.006434,0.001635,0.76,Linear
J204120.56+421407.6,310.335722,42.235464,-0.38,ClassII,18,11.5,11.61,1.02,0.254,0.89,8333.3333,0.0026,-0.000919,0.0001534,-0.87,Linear
J185209.34+002435.9,283.03888,0.410034,-0.16,FS,17,9.95,9.96,1.46,0.671,0.31,8333.3333,0.0028,-0.001431,0.0002638,-0.827,Linear
J194227.09+225941.1,295.612969,22.994788,-0.39,ClassII,18,10.11,10.19,2.72,0.41,0.55,8333.3333,0.0073,-0.002488,0.000359,-0.895,Linear
J173550.10-282204.1,263.958795,-28.367788,-0.3,ClassII,19,8.89,8.85,3.84,1.47,0.27,8333.3333,0.0,-0.00245,0.000773,-0.742,Linear
J190720.18+052806.7,286.834043,5.468572,-0.65,ClassII,19,9.23,9.21,6.01,0.87,0.64,8333.3333,0.0006,-0.003951,0.0004592,-0.905,Linear
