OBSID,Objname,RAdeg,DEdeg
589105026,J225611.53+584001.7,344.04807,58.667161
589305230,J041851.70+172316.7,64.7154229,17.387987
589705198,J034608.36+232051.0,56.534868,23.347509
589905033,J041057.66+222444.7,62.7402672,22.412428
591008064,J210428.00+501348.5,316.116683,50.230144
594808064,J210428.00+501348.5,316.116683,50.230144
594808177,J205855.57+493113.2,314.731552,49.520336
597203029,J230803.06+413407.2,347.012761,41.568685
597805110,J043114.44+271017.9,67.81017,27.1716569
597814244,J041926.26+282614.1,64.8594319,28.4372719
597914240,J050808.16+242714.8,77.0340186,24.4541278
598208067,J050808.16+242714.8,77.0340186,24.4541278
599205198,J034608.36+232051.0,56.534868,23.347509
599215106,J035202.25+243947.6,58.009403,24.663243
606915105,J035202.25+243947.6,58.009403,24.663243
607605198,J034608.36+232051.0,56.534868,23.347509
607615105,J035202.25+243947.6,58.009403,24.663243
607706077,J061914.37+224533.2,94.8098847,22.7592375
607706140,J062144.00+224428.8,95.4333467,22.741345
608302085,J082834.18+093026.1,127.1424261,9.5072722
608415039,J005915.42+611748.4,14.8142696,61.2967943
608416030,J004338.54+615524.6,10.9106243,61.9235199
608606077,J061914.37+224533.2,94.8098847,22.7592375
608904169,J042341.32+153754.8,65.9221808,15.6319114
608912176,J043230.34+173140.5,68.126453,17.5279231
608915072,J042153.00+162950.6,65.4708514,16.4974103
610306080,J035300.95+442653.8,58.25399,44.4483023
611809155,J010006.35+605208.5,15.0264883,60.8690295
611816030,J004338.54+615524.6,10.9106243,61.9235199
621006140,J062144.00+224428.8,95.4333467,22.741345
621008059,J061743.26+224828.1,94.4302699,22.8078196
623413156,J035225.65+454058.4,58.1069127,45.6828906
624504169,J042341.32+153754.8,65.9221836,15.6319139
624507141,J043359.97+142113.5,68.4998927,14.3537681
624507145,J043443.68+142524.5,68.6820392,14.4234747
625115003,J040707.63+203521.9,61.7818303,20.5894298
625115028,J040924.33+210424.2,62.351405,21.0734056
626315027,J035122.13+250958.0,57.842223,25.166136
626315105,J035202.25+243947.6,58.009403,24.663243
634703220,J042936.06+243555.6,67.400276,24.598793
634704171,J043123.81+241053.0,67.84921,24.18139
634704194,J043310.02+243343.2,68.29179,24.562
