Objname,RAdeg,DEdeg,YSO_CLASS,W2magMean,r_mean,r_priority,fading_mag_per_year,is_fading,fading_status,color_change_1yr,is_reddening_bluing,color_status,baseline_days
J181806.81-165119.7,274.528462,-16.855522,FS,8.45,16.62717023715588,LOW,0.7466884489929841,True,FADING (brightening in mag = getting dimmer),-0.04962195433467778,False,BLUEING (Δ(g-r) = -0.05 mag/yr),991.4999812144888
J181122.84-171440.4,272.845308,-17.244593,ClassII,8.01,16.425686862387888,MEDIUM,0.3890339399903881,True,FADING (brightening in mag = getting dimmer),0.03994554768024147,False,REDDENING (Δ(g-r) = +0.04 mag/yr),962.4301739949224
J224524.75+594652.6,341.353103,59.781274,FS,11.4,17.857630585592222,TOO_FAINT,0.4065719026261713,True,FADING (brightening in mag = getting dimmer),-0.23360673895465123,True,BLUEING (Δ(g-r) = -0.23 mag/yr),946.5534448385224
J221338.67+594948.1,333.411073,59.830029,ClassI,12.34,13.964885845932358,HIGH,0.6376760969527365,True,FADING (brightening in mag = getting dimmer),0.015643795897600326,False,STABLE,844.5496110873937
J185209.34+002435.9,283.03888,0.410034,FS,9.95,15.1008039482628,HIGH,0.33438099151907613,True,FADING (brightening in mag = getting dimmer),-0.004175223664511943,False,STABLE,960.5812401563671
J194227.09+225941.1,295.612969,22.994788,ClassII,10.11,17.771582438955235,TOO_FAINT,0.34911061542169836,True,FADING (brightening in mag = getting dimmer),0.0864193291393886,False,REDDENING (Δ(g-r) = +0.09 mag/yr),957.1980065431708
J185825.44+032832.2,284.60597,3.475672,ClassII,10.37,15.036191159652192,HIGH,0.30005045534938424,True,FADING (brightening in mag = getting dimmer),-0.0816000389211602,False,BLUEING (Δ(g-r) = -0.08 mag/yr),980.7447745408936
J203706.61+410512.2,309.277561,41.086724,ClassIII,11.09,16.472398398803744,MEDIUM,0.46048340404230514,True,FADING (brightening in mag = getting dimmer),0.01126239235198538,False,STABLE,972.2196747093767
J224723.12+591947.7,341.846084,59.329782,ClassII,12.4,16.967355664371105,LOW,0.7052895056132275,True,FADING (brightening in mag = getting dimmer),-0.08370267277159431,False,BLUEING (Δ(g-r) = -0.08 mag/yr),987.3815789405126
J185010.35+011057.8,282.543139,1.182788,ClassII,8.89,13.511596471618182,HIGH,0.2022309574596704,True,FADING (brightening in mag = getting dimmer),-0.09969058671553746,False,BLUEING (Δ(g-r) = -0.10 mag/yr),833.1708637762131
J192847.91+165520.7,292.19978,16.922336,ClassII,10.96,16.578715520504645,LOW,0.23917784573212283,True,FADING (brightening in mag = getting dimmer),0.27399816557449647,True,REDDENING (Δ(g-r) = +0.27 mag/yr),907.2446159278843
J190457.80+052120.5,286.240759,5.355672,ClassI,9.42,14.91857240582779,HIGH,0.3147816004706257,True,FADING (brightening in mag = getting dimmer),-0.026134088159622672,False,STABLE,965.1790236748129
J194210.68+234359.0,295.544614,23.733069,ClassII,9.07,14.50279670978652,HIGH,0.2196614276638671,True,FADING (brightening in mag = getting dimmer),-0.36174315815874386,True,BLUEING (Δ(g-r) = -0.36 mag/yr),974.2174359718847
J191649.58+121420.9,289.20671,12.239217,ClassIII,12.25,14.448288663481359,HIGH,0.3765411756835064,True,FADING (brightening in mag = getting dimmer),-0.0344235064060219,False,STABLE,970.3397514470853
J185943.04+030901.1,284.929159,3.150427,ClassII,10.32,17.025165739098664,TOO_FAINT,0.7676025963745678,True,FADING (brightening in mag = getting dimmer),-0.08136398356359367,False,BLUEING (Δ(g-r) = -0.08 mag/yr),894.3992421193907
J181612.85-113808.9,274.053483,-11.635892,FS,11.41,15.212579329091419,HIGH,0.38947302672748274,True,FADING (brightening in mag = getting dimmer),0.045923003966030364,False,REDDENING (Δ(g-r) = +0.05 mag/yr),986.856562539484
J184708.66+000455.0,281.786031,0.082005,ClassI,7.85,15.465046760125079,HIGH,0.34563457492296285,True,FADING (brightening in mag = getting dimmer),-0.0540809738001402,False,BLUEING (Δ(g-r) = -0.05 mag/yr),944.2633796438022
J181738.72-205431.0,274.411408,-20.908615,ClassII,8.05,14.390200959344957,HIGH,0.3190147052727744,True,FADING (brightening in mag = getting dimmer),0.03895057471786365,False,REDDENING (Δ(g-r) = +0.04 mag/yr),898.2528146670229
