Objname,RAdeg,DEdeg,YSO_CLASS,W2magMean,delW2mag,LCType
J181806.81-165119.7,274.528462,-16.855522,FS,8.45,1.7,Linear
J222542.49+574059.4,336.427003,57.683187,ClassI,11.23,0.63,Linear
J181122.84-171440.4,272.845308,-17.244593,ClassII,8.01,0.21,Linear
J224524.75+594652.6,341.353103,59.781274,FS,11.4,0.38,Linear
J221516.21+580743.5,333.817529,58.128808,FS,12.11,0.81,Linear
J192949.89+172150.2,292.457966,17.363992,FS,10.41,1.17,Linear
J221338.67+594948.1,333.411073,59.830029,ClassI,12.34,0.34,Linear
J185651.71+032208.3,284.21545,3.369033,FS,8.71,0.32,Linear
J191325.01+123749.8,288.354263,12.63048,ClassIII,10.13,0.21,Linear
J203647.31+413343.3,309.197123,41.562035,ClassI,8.75,0.48,Linear
J204120.56+421407.6,310.335722,42.235464,ClassII,11.5,0.89,Linear
J185209.34+002435.9,283.03888,0.410034,FS,9.95,0.31,Linear
J194227.09+225941.1,295.612969,22.994788,ClassII,10.11,0.55,Linear
J173550.10-282204.1,263.958795,-28.367788,ClassII,8.89,0.27,Linear
J190720.18+052806.7,286.834043,5.468572,ClassII,9.23,0.64,Linear
J185825.44+032832.2,284.60597,3.475672,ClassII,10.37,0.4,Linear
J191301.04+120911.2,288.254243,12.153281,ClassII,10.19,0.35,Linear
J203706.61+410512.2,309.277561,41.086724,ClassIII,11.09,0.24,Linear
J224723.12+591947.7,341.846084,59.329782,ClassII,12.4,1.17,Linear
J185010.35+011057.8,282.543139,1.182788,ClassII,8.89,0.52,Linear
J190020.90+035614.2,285.087032,3.937275,ClassIII,10.63,0.58,Linear
J215636.35+580242.8,329.151455,58.045259,FS,9.04,0.17,Linear
J175244.86-262246.6,268.186934,-26.379652,FS,8.8,0.4,Linear
J192847.91+165520.7,292.19978,16.922336,ClassII,10.96,0.43,Linear
J182244.41-131048.4,275.685152,-13.180119,ClassII,7.02,0.4,Linear
J192610.65+160904.8,291.544469,16.151363,FS,8.36,0.17,Linear
J185845.30+015021.7,284.688741,1.839354,ClassII,9.27,0.89,Linear
J190308.44+054039.5,285.785183,5.677702,ClassII,10.55,0.33,Linear
J190457.80+052120.5,286.240759,5.355672,ClassI,9.42,0.28,Linear
J184710.54-071820.7,281.793882,-7.30579,FS,11.7,0.33,Linear
J194210.68+234359.0,295.544614,23.733069,ClassII,9.07,0.38,Linear
J223627.69+593249.2,339.115322,59.547007,ClassI,11.39,0.77,Linear
J191649.58+121420.9,289.20671,12.239217,ClassIII,12.25,0.45,Linear
J185625.51+015916.5,284.106331,1.988013,ClassII,9.32,0.58,Linear
J190159.18+035214.6,285.496564,3.870892,ClassII,10.85,0.26,Linear
J181446.75-203518.2,273.694828,-20.588351,ClassI,9.48,0.17,Linear
J185943.04+030901.1,284.929159,3.150427,ClassII,10.32,0.5,Linear
J181612.85-113808.9,274.053483,-11.635892,FS,11.41,1.62,Linear
J185730.17+030916.4,284.375672,3.154629,ClassIII,9.32,0.18,Linear
J202336.64+383534.4,305.902585,38.592948,ClassIII,13.1,0.67,Linear
J184708.66+000455.0,281.786031,0.082005,ClassI,7.85,0.15,Linear
J181908.34-105743.5,274.784783,-10.961962,ClassI,11.56,0.36,Linear
J181738.72-205431.0,274.411408,-20.908615,ClassII,8.05,0.35,Linear
J174918.02-271116.6,267.325147,-27.18799,ClassII,8.15,0.54,Linear
J215550.45+575628.8,328.960267,57.94132,ClassII,8.53,0.8,Linear
J190506.40+063421.5,286.276734,6.57265,ClassII,7.79,1.06,Linear
J175153.38-295130.9,267.972542,-29.858622,ClassII,8.97,0.43,Linear
J185516.74+020752.0,283.819756,2.131227,FS,7.99,0.59,Linear
J190027.91+044031.0,285.116253,4.675534,ClassII,10.41,0.28,Linear
J185128.76+005752.6,282.869787,0.96471,ClassI,10.07,0.27,Linear
J182604.56-125145.6,276.519139,-12.862663,ClassI,9.57,0.38,Linear
J185707.67+020902.7,284.28195,2.1508,ClassII,10.0,0.45,Linear
J193238.81+171758.4,293.161735,17.299526,FS,8.56,0.35,Linear
J184607.42-035301.0,281.530717,-3.88347,ClassII,10.71,1.07,Linear
J194320.31+230044.8,295.834734,23.012463,FS,10.6,0.79,Linear
J192031.51+122414.0,290.131302,12.404119,FS,9.6,0.24,Linear
J192640.61+155339.9,291.669282,15.894437,FS,10.2,0.82,Linear
J181957.53-161204.8,274.989763,-16.201388,ClassII,7.12,0.35,Linear
J191032.52+094720.3,287.635579,9.788977,ClassII,7.59,0.18,Linear
J184805.23-034402.7,282.021583,-3.734044,ClassIII,10.26,0.57,Linear
J180417.87-225206.9,271.074493,-22.86864,FS,7.79,0.71,Linear
J223210.37+582338.9,338.043218,58.394125,ClassI,10.32,0.37,Linear
J190615.48+072853.6,286.564321,7.481451,ClassI,10.13,0.47,Linear
J204042.42+395749.9,310.176868,39.963931,ClassIII,12.52,0.36,Linear
J224658.81+614539.4,341.744999,61.760989,ClassIII,11.95,0.4,Linear
J185209.29+011159.7,283.038733,1.199961,ClassII,10.47,0.41,Linear
J190329.44+042938.1,285.872842,4.493861,ClassIII,11.19,0.49,Linear
J204324.29+422934.4,310.851265,42.49289,ClassIII,12.41,0.39,Linear
J190406.64+050853.3,286.027728,5.1482,ClassI,9.66,0.46,Linear
