Objname,RAdeg,DEdeg,YSO_CLASS,W2magMean,r_mean,r_priority,fading_mag_per_year,is_fading,fading_status,color_change_1yr,is_reddening_bluing,color_status,baseline_days
J181806.81-165119.7,274.528462,-16.855522,FS,8.45,16.62717023715588,LOW,0.7466884489929841,True,FADING (brightening in mag = getting dimmer),-0.04962195433467778,False,BLUEING (Δ(g-r) = -0.05 mag/yr),991.4999812144888
J222542.49+574059.4,336.427003,57.683187,ClassI,11.23,13.419852681124038,HIGH,-1.051126244321183,False,BRIGHTENING (dimming in mag = getting brighter),0.08940636734957062,False,REDDENING (Δ(g-r) = +0.09 mag/yr),983.8233591285607
J181122.84-171440.4,272.845308,-17.244593,ClassII,8.01,16.425686862387888,MEDIUM,0.3890339399903881,True,FADING (brightening in mag = getting dimmer),0.03994554768024147,False,REDDENING (Δ(g-r) = +0.04 mag/yr),962.4301739949224
J224524.75+594652.6,341.353103,59.781274,FS,11.4,17.857630585592222,TOO_FAINT,0.4065719026261713,True,FADING (brightening in mag = getting dimmer),-0.23360673895465123,True,BLUEING (Δ(g-r) = -0.23 mag/yr),946.5534448385224
J221516.21+580743.5,333.817529,58.128808,FS,12.11,12.583758789145278,HIGH,-0.35220075295525516,False,BRIGHTENING (dimming in mag = getting brighter),0.22154814284229904,True,REDDENING (Δ(g-r) = +0.22 mag/yr),972.6797886601998
J192949.89+172150.2,292.457966,17.363992,FS,10.41,15.694078781004313,MEDIUM,-0.8048249508958256,False,BRIGHTENING (dimming in mag = getting brighter),0.023766354716177263,False,STABLE,976.7153881493869
J221338.67+594948.1,333.411073,59.830029,ClassI,12.34,13.964885845932358,HIGH,0.6376760969527365,True,FADING (brightening in mag = getting dimmer),0.015643795897600326,False,STABLE,844.5496110873937
J185651.71+032208.3,284.21545,3.369033,FS,8.71,13.06825610778822,HIGH,-0.9290789351628069,False,BRIGHTENING (dimming in mag = getting brighter),0.006618958965072154,False,STABLE,988.7032427902595
J191325.01+123749.8,288.354263,12.63048,ClassIII,10.13,13.876030063565617,HIGH,-0.31221747166705177,False,BRIGHTENING (dimming in mag = getting brighter),-0.08287470833434046,False,BLUEING (Δ(g-r) = -0.08 mag/yr),924.8318957063893
J203647.31+413343.3,309.197123,41.562035,ClassI,8.75,14.132231790332956,HIGH,-0.2314435179386511,False,BRIGHTENING (dimming in mag = getting brighter),0.4947429663851893,True,REDDENING (Δ(g-r) = +0.49 mag/yr),941.6068889588059
J204120.56+421407.6,310.335722,42.235464,ClassII,11.5,15.832649115704594,MEDIUM,-0.7710352215073131,False,BRIGHTENING (dimming in mag = getting brighter),-0.027327554780931226,False,STABLE,967.5930177438786
J185209.34+002435.9,283.03888,0.410034,FS,9.95,15.1008039482628,HIGH,0.33438099151907613,True,FADING (brightening in mag = getting dimmer),-0.004175223664511943,False,STABLE,960.5812401563671
J194227.09+225941.1,295.612969,22.994788,ClassII,10.11,17.771582438955235,TOO_FAINT,0.34911061542169836,True,FADING (brightening in mag = getting dimmer),0.0864193291393886,False,REDDENING (Δ(g-r) = +0.09 mag/yr),957.1980065431708
J173550.10-282204.1,263.958795,-28.367788,ClassII,8.89,14.287857589672884,HIGH,0.15145087927345197,False,FADING (brightening in mag = getting dimmer),-0.08630114131163723,False,BLUEING (Δ(g-r) = -0.09 mag/yr),876.5433603038036
J190720.18+052806.7,286.834043,5.468572,ClassII,9.23,16.78857458090821,LOW,-0.3068032092793943,False,BRIGHTENING (dimming in mag = getting brighter),0.3473495671838974,True,REDDENING (Δ(g-r) = +0.35 mag/yr),970.7796120872226
J185825.44+032832.2,284.60597,3.475672,ClassII,10.37,15.036191159652192,HIGH,0.30005045534938424,True,FADING (brightening in mag = getting dimmer),-0.0816000389211602,False,BLUEING (Δ(g-r) = -0.08 mag/yr),980.7447745408936
J191301.04+120911.2,288.254243,12.153281,ClassII,10.19,13.598080016296798,HIGH,-0.5836588940358807,False,BRIGHTENING (dimming in mag = getting brighter),-0.06496541559797023,False,BLUEING (Δ(g-r) = -0.06 mag/yr),944.4094013213617
J203706.61+410512.2,309.277561,41.086724,ClassIII,11.09,16.472398398803744,MEDIUM,0.46048340404230514,True,FADING (brightening in mag = getting dimmer),0.01126239235198538,False,STABLE,972.2196747093767
J224723.12+591947.7,341.846084,59.329782,ClassII,12.4,16.967355664371105,LOW,0.7052895056132275,True,FADING (brightening in mag = getting dimmer),-0.08370267277159431,False,BLUEING (Δ(g-r) = -0.08 mag/yr),987.3815789405126
J185010.35+011057.8,282.543139,1.182788,ClassII,8.89,13.511596471618182,HIGH,0.2022309574596704,True,FADING (brightening in mag = getting dimmer),-0.09969058671553746,False,BLUEING (Δ(g-r) = -0.10 mag/yr),833.1708637762131
J190020.90+035614.2,285.087032,3.937275,ClassIII,10.63,13.833137263046586,HIGH,0.0005530859074798546,False,STABLE,0.09103564304427941,False,REDDENING (Δ(g-r) = +0.09 mag/yr),973.2573892684959
J215636.35+580242.8,329.151455,58.045259,FS,9.04,15.525106098697723,MEDIUM,-0.09661084901044363,False,BRIGHTENING (dimming in mag = getting brighter),0.018086317605230634,False,STABLE,978.141193597934
J175244.86-262246.6,268.186934,-26.379652,FS,8.8,15.174311221751658,HIGH,-0.10477102592406226,False,BRIGHTENING (dimming in mag = getting brighter),-0.13737577314085317,True,BLUEING (Δ(g-r) = -0.14 mag/yr),966.8544022486676
